SCHOOL_NAME,LEADERS_RATING
"Esmond Elementary School","Weak"
"Eugene Field Elementary School","Weak"
"Everett McKinley Dirksen Elementary School","Weak"
"Evergreen Academy Middle School","Weak"
"Fairfield Elementary Academy","Weak"
"Federico Garcia Lorca Elementary School","Weak"
"Wilma Rudolph Elementary Learning Center","Weak"
"Ferdinand Peck Elementary School","Weak"
"Fernwood Elementary School","Weak"
"Florence B Price Elementary School","Weak"
"Florence Nightingale Elementary School","Weak"
"Fort Dearborn Elementary School","Weak"
"Foster Park Elementary School","Weak"
"Francisco I Madero Middle School","Weak"
"Francis M McKay Elementary School","Weak"
"Francis Parkman Elementary School","Weak"
"Francis Scott Key Elementary School","Weak"
"Francis W Parker Elementary Community Academy","Weak"
"Frank I Bennett Elementary School","Weak"
"Frank L Gillespie Elementary School","Weak"
"Franklin Elementary Fine Arts Center","Weak"
"Frank W Gunsaulus Elementary Scholastic Academy","Weak"
"Frank W Reilly Elementary School","Weak"
"Franz Peter Schubert Elementary School","Weak"
"Frazier Prospective IB Magnet Elementary School","Weak"
"Frederic Chopin Elementary School","Weak"
"Frederick A Douglass Academy High School","Weak"
"Frederick Funston Elementary School","Weak"
"Frederick Stock Elementary School","Weak"
"Friedrich Ludwig Jahn Elementary School","Weak"
"Friedrich W von Steuben Metropolitan Science High School","Weak"
"Gage Park High School","Weak"
"Galileo Math & Science Scholastic Academy Elementary School","Weak"
"Garrett A Morgan Elementary School","Weak"
"Genevieve Melody Elementary School","Weak"
"George Armstrong International Studies Elementary School","Weak"
"George B McClellan Elementary School","Weak"
"George B Swift Elementary Specialty School","Weak"
"George F Cassell Elementary School","Weak"
"George H Corliss High School","Weak"
"George Leland Elementary School","Weak"
"George Manierre Elementary School","Weak"
"George M Pullman Elementary School","Weak"
"George Rogers Clark Elementary School","Weak"
"George Washington Carver Military Academy High School","Weak"
"George Washington Carver Primary School","Weak"
"George Washington Elementary School","Weak"
"George Washington High School","Weak"
"George W Curtis Elementary School","Weak"
"George Westinghouse High School","Weak"
"George W Tilton Elementary School","Weak"
"Gerald Delgado Kanoon Elementary Magnet School","Weak"
"Graeme Stewart Elementary School","Weak"
"Granville T Woods Math & Science Academy Elementary School","Weak"
"Greater Lawndale High School For Social Justice","Weak"
"Grover Cleveland Elementary School","Weak"
"Guglielmo Marconi Elementary Community Academy","Weak"
"Gurdon S Hubbard High School","Weak"
"Gwendolyn Brooks College Preparatory Academy High School","Weak"
"Hannah G Solomon Elementary School","Weak"
"Hanson Park Elementary School","Weak"
"Harold Washington Elementary School","Weak"
"Harriet Beecher Stowe Elementary School","Weak"
"Harriet E Sayre Elementary Language Academy","Weak"
"Hawthorne Elementary Scholastic Academy","Weak"
"Helen M Hefferan Elementary School","Weak"
"Helen Peirce International Studies Elementary School","Weak"
"Helge A Haugan Elementary School","Weak"
"Henry Clay Elementary School","Weak"
"Henry D Lloyd Elementary School","Weak"
"Henry H Nash Elementary School","Weak"
"Henry O Tanner Elementary School","Weak"
"Henry R Clissold Elementary School","Weak"
"High School of Leadership at South Shore","Weak"
"Hiram H Belding Elementary School","Weak"
"Hope College Preparatory High School","Weak"
"Horace Greeley Elementary School","Weak"
"Horace Mann Elementary School","Weak"
"Horatio May Elementary Community Academy","Weak"
"Hyde Park Academy High School","Weak"
"Hyman G Rickover Naval Academy High School","Weak"
"Ida B Wells Preparatory Elementary Academy","Weak"
"Ignance Paderewski Elementary Learning Academy","Weak"
"Infinity Math Science and Technology High School","Weak"
"Inter-American Elementary Magnet School","Weak"
"Ira F Aldridge Elementary School","Weak"
"Irene C. Hernandez Middle School for the Advancement of Science","Weak"
"Irma C Ruiz Elementary School","Weak"
"Irvin C Mollison Elementary School","Weak"
"Isabelle C O'Keeffe Elementary School","Weak"
"Jackie Robinson Elementary School","Weak"
"Jacob Beidler Elementary School","Weak"
"Jacqueline B Vaughn Occupational High School","Weak"
"James B Farnsworth Elementary School","Weak"
"James B McPherson Elementary School","Weak"
"James E McDade Elementary Classical School","Weak"
"James G Blaine Elementary School","Weak"
"James Hedges Elementary School","Weak"
"James Madison Elementary School","Weak"
"James Monroe Elementary School","Weak"
"James N Thorp Elementary School","Weak"
"James Otis Elementary School","Weak"
"James R Doolittle Jr Elementary School","Weak"
"James Russell Lowell Elementary School","Weak"
"James Shields Elementary School","Weak"
"James Wadsworth Elementary School","Weak"
"James Ward Elementary School","Weak"
"James Weldon Johnson Elementary School","Weak"
"Jane Addams Elementary School","Weak"
"Jane A Neil Elementary School","Weak"
"Jean Baptiste Beaubien Elementary School","Weak"
"Jean D Lafayette Elementary School","Weak"
"Jensen Elementary Scholastic Academy","Weak"
"Jesse Owens Elementary Community Academy","Weak"
"Jesse Sherwood Elementary School","Weak"
"Johann W von Goethe Elementary School","Weak"
"John A Walsh Elementary School","Weak"
"John Barry Elementary School","Weak"
"John B Drake Elementary School","Weak"
"John B Murphy Elementary School","Weak"
"John Calhoun North Elementary School","Weak"
"John C Burroughs Elementary School","Weak"
"John C Coonley Elementary School","Weak"
"John C Dore Elementary School","Weak"
"John Charles Haines Elementary School","Weak"
"John D Shoop Math-Science Technical Academy Elementary School","Weak"
"John F Eberhart Elementary School","Weak"
"John Fiske Elementary School","Weak"
"John F Kennedy High School","Weak"
"John Foster Dulles Elementary School","Weak"
"John Greenleaf Whittier Elementary School","Weak"
"John Hancock College Preparatory High School","Weak"
"John Harvard Elementary School of Excellence","Weak"
"John Hay Elementary Community Academy","Weak"
"John H Hamline Elementary School","Weak"
"John H Kinzie Elementary School","Weak"
"John H Vanderpoel Elementary Magnet School","Weak"
"John J Audubon Elementary School","Weak"
"John J Pershing Elementary Humanities Magnet","Weak"
"John L Marsh Elementary School","Weak"
"John Marshall Metropolitan High School","Weak"
"John M Harlan Community Academy High School","Weak"
"John Milton Gregory Elementary School","Weak"
"John M Smyth Elementary School","Weak"
"Johnnie Colemon Elementary Academy","Weak"
"John Palmer Elementary School","Weak"
"John P Altgeld Elementary School","Weak"
"John Spry Elementary Community School","Weak"
"John T McCutcheon Elementary School","Weak"
"John T Pirie Fine Arts & Academic Center Elementary School","Weak"
"John W Cook Elementary School","Weak"
"John W Garvy Elementary School","Weak"
"John Whistler Elementary School","Weak"
"Jonathan Burr Elementary School","Weak"
"Jonathan Y Scammon Elementary School","Weak"
"Jordan Elementary Community School","Weak"
"Jose De Diego Elementary Community Academy","Weak"
"Josefa Ortiz De Dominguez Elementary School","Weak"
"Joseph Brennemann Elementary School","Weak"
"Joseph E Gary Elementary School","Weak"
"Josephine C Locke Elementary School","Weak"
"Joseph Jungman Elementary School","Weak"
"Joseph Kellman Corporate Community Elementary School","Weak"
"Joseph Lovett Elementary School","Weak"
"Joseph Stockton Elementary School","Weak"
"Joseph Warren Elementary School","Weak"
"Joshua D Kershaw Elementary School","Weak"
"Josiah Pickard Elementary School","Weak"
"Joyce Kilmer Elementary School","Weak"
"Julia C Lathrop Elementary School","Weak"
"Julia Ward Howe Elementary School of Excellence","Weak"
"Kate S Buckingham Special Education Center","Weak"
"Kate S Kellogg Elementary School","Weak"
"Kelvyn Park High School","Weak"
"Kenwood Academy High School","Weak"
"Lake View High School","Weak"
"Langston Hughes Elementary School","Weak"
"LaSalle Elementary Language Academy","Weak"
"LaSalle II Magnet Elementary School","Weak"
"Laughlin Falconer Elementary School","Weak"
"Laura S Ward Elementary School","Weak"
"Lawndale Elementary Community Academy","Weak"
"Lazaro Cardenas Elementary School","Weak"
"Leif Ericson Elementary Scholastic Academy","Weak"
"Lenart Elementary Regional Gifted Center","Weak"
"Leslie Lewis Elementary School","Weak"
"Lincoln Park High School","Weak"
"Lionel Hampton Fine & Performing Arts Elementary School","Weak"
"Little Village Elementary School","Weak"
"Logandale Middle School","Weak"
"Lorenz Brentano Math & Science Academy Elementary School","Weak"
"Louis A Agassiz Elementary School","Weak"
"Louisa May Alcott Elementary School","Weak"
"Louis Armstrong Math & Science Elementary School","Weak"
"Louis Nettelhorst Elementary School","Weak"
"Louis Pasteur Elementary School","Weak"
"Ludwig Van Beethoven Elementary School","Weak"
"Luke O'Toole Elementary School","Weak"
"Luther Burbank Elementary School","Weak"
"Lyman A Budlong Elementary School","Weak"
"Lyman Trumbull Elementary School","Weak"
"Mahalia Jackson Elementary School","Weak"
"Mancel Talcott Elementary School","Weak"
"Manley Career Academy High School","Weak"
"Manuel Perez Elementary School","Weak"
"Marcus Moziah Garvey Elementary School","Weak"
"Mariano Azuela Elementary School","Weak"
"Maria Saucedo Elementary Scholastic Academy","Weak"
"Marie Sklodowska Curie Metropolitan High School","Weak"
"Marine Military Math and Science Academy","Weak"
"Mark Sheridan Elementary Math & Science Academy","Weak"
"Mark Skinner Elementary School","Weak"
"Mark Twain Elementary School","Weak"
"Marquette Elementary School","Weak"
"Martha Ruggles Elementary School","Weak"
"Martin A Ryerson Elementary School","Weak"
"Marvin Camras Elementary School","Weak"
